fecha,banco,indice_ev_individual,indice_ev_grupal,indice_cartera_normal,indice_cartera_subestandar,indice_cartera_incumplimiento
2016-08-01,Banco Consorcio,,91.22774567313338,8.772254326866616,0.8455439390262088,9.127911347966089
2016-08-01,Banco Falabella,,1.3347967873735316e-10,99.99999999986652,3.3907101405244875,
2016-08-01,Banco Internacional,,96.15300756694177,3.846992433058225,1.0995630576036177,2.7158027822955795
2016-08-01,Banco Paris,,0.0,100.0,0.14535834209095952,
2016-08-01,Banco Penta,,100.0,0.0,1.6848464059872998,0.0
2016-08-01,Banco Ripley,,0.0,100.0,3.8778791394694494,
2016-08-01,Banco Santander-Chile,,42.15753585824012,57.84246414175988,1.17137195118089,8.02862108314697
2016-08-01,Banco Security,,72.6990259932316,27.300974006768396,0.7003783476358504,1.5576441099765084
2016-08-01,Banco de Chile,,49.6948392094233,50.3051607905767,1.2105967633290062,15.737975721247393
2016-08-01,Banco de Crédito e Inversiones,,49.51134521591167,50.48865478408834,0.501206262268698,7.3945010548889885
2016-08-01,Banco de la Nación Argentina,,99.42252001244654,0.5774799875534667,0.4930705190895737,
2016-08-01,Banco del Estado de Chile,,38.58592722814246,61.41407277185754,1.221566110410766,7.403389690915228
2016-08-01,Banco do Brasil S.A.,,100.0,0.0,2.277284585755441,13.522294028202229
2016-08-01,"China Construction Bank, Agencia en Chile",,100.0,0.0,1.75000000197659,
2016-08-01,Deutsche Bank (Chile),,,,,
2016-08-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-08-01,HSBC Bank (Chile),,99.93902713632214,0.06097286367785741,2.7594746335428577,9.907343344132817
2016-08-01,Itaú Corpbanca,,57.712579332157446,42.287420667842554,0.6985636110180057,10.193250906785059
2016-08-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-08-01,Rabobank Chile,,100.0,0.0,0.5387426664293553,1.862286531203225
2016-08-01,Scotiabank Chile,,47.0705355040242,52.9294644959758,0.9655872284411766,21.435589886409666
2016-08-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,2.167145349564894,
2016-09-01,Banco BTG Pactual Chile,,100.0,0.0,0.2619830636843432,0.0
2016-09-01,Banco Bice,,75.98491233246362,24.01508766753638,0.6295197783730956,7.941241861785846
2016-09-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.093813148475384,55.90618685152462,0.7972860574214896,8.050329194618957
2016-09-01,Banco Consorcio,,91.17031600065744,8.829683999342562,0.8478526737392352,8.980298849299587
2016-09-01,Banco Falabella,,1.3297631826742222e-10,99.99999999986703,3.334524476252837,
2016-09-01,Banco Internacional,,96.13285176193732,3.867148238062676,1.0891866096884215,2.5682788397159277
2016-09-01,Banco Paris,,0.0,100.0,0.16482510019058974,
2016-09-01,Banco Penta,,100.0,0.0,1.7468350565036717,0.0
2016-09-01,Banco Ripley,,0.0,100.0,3.839639093089571,
2016-09-01,Banco Santander-Chile,,42.38544672932228,57.61455327067772,1.1550704845326696,7.9219044081353385
2016-09-01,Banco Security,,72.57377996999685,27.42622003000314,0.6992763172342595,1.5024959111019836
2016-09-01,Banco de Chile,,49.518154852419585,50.48184514758041,1.2002902275211693,16.75591753298365
2016-09-01,Banco de Crédito e Inversiones,,49.00623068690367,50.99376931309633,0.4621208931946572,7.8679834354615785
2016-09-01,Banco de la Nación Argentina,,99.28877886415354,0.7112211358464503,0.630900131093469,
2016-09-01,Banco del Estado de Chile,,37.85625660283591,62.14374339716409,1.2375864693814946,7.237616812495112
2016-09-01,Banco do Brasil S.A.,,100.0,0.0,2.8406160819405413,14.315766543505612
2016-09-01,"China Construction Bank, Agencia en Chile",,100.0,0.0,1.7499999965937028,
2016-09-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-09-01,HSBC Bank (Chile),,99.94269392620234,0.05730607379766152,2.8128161928101454,10.292845692070587
