fecha,banco,indice_total,indice_comercial,indice_consumo,indice_vivienda
2023-12-01,"Bank of China, Agencia en Chile",0.21874999484137533,0.21874999484137533,0.21874999484137533,
2023-12-01,"China Construction Bank, Agencia en Chile",7.616302039205765,7.616302039205765,7.616302039205765,
2023-12-01,HSBC Bank (Chile),3.5866828115292044,4.04603415684538,4.0463281817033545,0.39999914333656095
2023-12-01,"JP Morgan Chase Bank, N.A.",0.03655356752155799,0.03655356752155799,0.03655356752155799,
2023-12-01,Scotiabank Chile,1.5945984883795685,1.5958200667298206,2.0366848634331283,1.1712642127470176
2024-01-01,Banco BTG Pactual Chile,1.470880449043966,1.470880449043966,1.470880449043966,
2024-01-01,Banco Bice,1.2336448325875053,1.2336448325875053,1.5014833923811195,0.41942235105617937
2024-01-01,Banco Consorcio,1.9116519842438011,1.9116519842438011,2.631580202643985,0.5353953003002991
2024-01-01,Banco Falabella,6.028510252110971,6.028510252110971,4.8215292181955025,6.0946244847596605
2024-01-01,Banco Internacional,1.9545539894800006,1.9545539894800006,1.960829225404921,1.8208178428354322
2024-01-01,Banco Itaú Chile,2.700557012692234,2.7111787880357845,2.6486102368603675,2.798772286274605
2024-01-01,Banco Ripley,9.656352579662222,9.656352579662222,9.368529389090039,9.656819267626823
2024-01-01,Banco Santander-Chile,2.76617306267094,2.766207187727634,3.5712105695553413,2.0781065634007065
2024-01-01,Banco Security,2.738890665054657,2.7389178765103144,3.008077276257395,1.778466613802514
2024-01-01,Banco de Chile,2.022459724254976,2.0382093127125014,1.8373374055568048,2.2660455242563717
2024-01-01,Banco de Crédito e Inversiones,1.9954196442996448,2.0258401664481553,1.93510367315834,2.150856939434147
2024-01-01,Banco del Estado de Chile,3.626964457854087,3.720831281743152,4.6035573743006255,2.861568091534401
2024-01-01,Banco do Brasil S.A.,,,,
2024-01-01,"Bank of China, Agencia en Chile",0.21875000474025277,0.21875000474025277,0.21875000474025277,
2024-01-01,"China Construction Bank, Agencia en Chile",7.687221994502015,7.687221994502015,7.687221994502015,
2024-01-01,HSBC Bank (Chile),3.669935050594164,4.167405644904885,4.167683244420731,0.4000024835759429
2024-01-01,"JP Morgan Chase Bank, N.A.",0.0362268410252757,0.0362268410252757,0.0362268410252757,
2024-01-01,Scotiabank Chile,1.6139765335645933,1.6148956813722106,2.0528735261085176,1.1838152282715522
2024-02-01,Banco BTG Pactual Chile,1.4592501367442379,1.4592501367442379,1.4592501367442379,
2024-02-01,Banco Bice,1.2732434870016085,1.2732434870016085,1.5512181407152852,0.42919063437032234
2024-02-01,Banco Consorcio,1.939952975004779,1.939952975004779,2.6664040957405777,0.5475424178298216
2024-02-01,Banco Falabella,5.929993899943165,5.929993899943165,4.760932753252047,5.993846779350136
2024-02-01,Banco Internacional,2.0158786464311342,2.0158786464311342,2.0226954621825293,1.8734329314614182
2024-02-01,Banco Itaú Chile,2.7302786899323737,2.741523326713674,2.686633079760445,2.818509264379423
